Phyla,Receptor,Unique_species
Cephalochordata,GPR6,0
Hemichordata,GPR6,0
Echinodermata,GPR6,0
Annelida,GPR6,0
Mollusca,GPR6,0
Arthropoda,GPR6,0
Cnidaria,GPR6,0
Placozoa,GPR6,0
Mammalia,GPR82,239
Archosauria,GPR82,305
Lepidosauria,GPR82,0
Testudines,GPR82,15
Amphibia,GPR82,9
Dipnomorpha,GPR82,1
Coelacanthiformes,GPR82,1
Actinopterygii,GPR82,116
Chondrichthyes,GPR82,1
Cyclostomata,GPR82,0
Tunicata,GPR82,0
Cephalochordata,GPR82,0
Hemichordata,GPR82,0
Echinodermata,GPR82,0
Annelida,GPR82,0
Mollusca,GPR82,0
Arthropoda,GPR82,0
Cnidaria,GPR82,0
Placozoa,GPR82,0
Mammalia,GPR84,270
Archosauria,GPR84,3
Lepidosauria,GPR84,37
Testudines,GPR84,22
Amphibia,GPR84,38
Dipnomorpha,GPR84,1
Coelacanthiformes,GPR84,1
Actinopterygii,GPR84,294
Chondrichthyes,GPR84,19
Cyclostomata,GPR84,5
Tunicata,GPR84,0
Cephalochordata,GPR84,0
Hemichordata,GPR84,0
Echinodermata,GPR84,0
Annelida,GPR84,0
Mollusca,GPR84,0
Arthropoda,GPR84,0
Cnidaria,GPR84,0
Placozoa,GPR84,0
Mammalia,GPR87,261
Archosauria,GPR87,435
Lepidosauria,GPR87,32
Testudines,GPR87,21
Amphibia,GPR87,36
Dipnomorpha,GPR87,0
Coelacanthiformes,GPR87,1
Actinopterygii,GPR87,50
Chondrichthyes,GPR87,8
Cyclostomata,GPR87,0
Tunicata,GPR87,0
Cephalochordata,GPR87,0
Hemichordata,GPR87,0
Echinodermata,GPR87,0
Annelida,GPR87,0
Mollusca,GPR87,0
Arthropoda,GPR87,0
Cnidaria,GPR87,0
Placozoa,GPR87,0
Mammalia,LPAR1,237
Archosauria,LPAR1,206
Lepidosauria,LPAR1,28
Testudines,LPAR1,15
Amphibia,LPAR1,21
Dipnomorpha,LPAR1,1
Coelacanthiformes,LPAR1,1
Actinopterygii,LPAR1,212
Chondrichthyes,LPAR1,15
Tunicata,LPAR1,0
Cephalochordata,LPAR1,0
Hemichordata,LPAR1,0
Echinodermata,LPAR1,0
Annelida,LPAR1,0
Mollusca,LPAR1,0
Arthropoda,LPAR1,0
Cnidaria,LPAR1,0
Placozoa,LPAR1,0
Mammalia,LPAR2,183
Archosauria,LPAR2,203
Lepidosauria,LPAR2,20
Testudines,LPAR2,11
Amphibia,LPAR2,11
Dipnomorpha,LPAR2,1
Coelacanthiformes,LPAR2,0
Actinopterygii,LPAR2,178
Chondrichthyes,LPAR2,6
Cyclostomata,LPAR2,0
Tunicata,LPAR2,0
Cephalochordata,LPAR2,0
Hemichordata,LPAR2,0
Echinodermata,LPAR2,0
Annelida,LPAR2,0
Mollusca,LPAR2,0
Arthropoda,LPAR2,0
Cnidaria,LPAR2,0
Placozoa,LPAR2,0
Mammalia,LPAR3,240
Archosauria,LPAR3,424
Lepidosauria,LPAR3,31
Testudines,LPAR3,15
Amphibia,LPAR3,23
Dipnomorpha,LPAR3,1
Coelacanthiformes,LPAR3,1
Actinopterygii,LPAR3,226
Chondrichthyes,LPAR3,15
Cyclostomata,LPAR3,0
Tunicata,LPAR3,0
Cephalochordata,LPAR3,0
Hemichordata,LPAR3,0
Echinodermata,LPAR3,0
Annelida,LPAR3,0
Mollusca,LPAR3,0
Arthropoda,LPAR3,0
Cnidaria,LPAR3,0
Placozoa,LPAR3,0
Cyclostomata,LPAR1|LPAR3,2
Mammalia,LPAR4,224
Archosauria,LPAR4,391
Lepidosauria,LPAR4,21
Testudines,LPAR4,14
Amphibia,LPAR4,14
Dipnomorpha,LPAR4,1
Coelacanthiformes,LPAR4,1
Actinopterygii,LPAR4,158
Chondrichthyes,LPAR4,8
Cyclostomata,LPAR4,0
Tunicata,LPAR4,0
Cephalochordata,LPAR4,0
Hemichordata,LPAR4,0
Echinodermata,LPAR4,0
Annelida,LPAR4,0
Mollusca,LPAR4,0
Arthropoda,LPAR4,0
Cnidaria,LPAR4,0
Placozoa,LPAR4,0
Mammalia,LPAR5,207
Archosauria,LPAR5,393
Lepidosauria,LPAR5,22
Testudines,LPAR5,14
Amphibia,LPAR5,12
Dipnomorpha,LPAR5,1
Coelacanthiformes,LPAR5,1
Actinopterygii,LPAR5,0
Chondrichthyes,LPAR5,5
Cyclostomata,LPAR5,0
Tunicata,LPAR5,0
Cephalochordata,LPAR5,0
Hemichordata,LPAR5,0
Echinodermata,LPAR5,0
Annelida,LPAR5,0
Mollusca,LPAR5,0
Arthropoda,LPAR5,0
Cnidaria,LPAR5,0
Placozoa,LPAR5,0
Mammalia,LPAR6,202
Archosauria,LPAR6,388
Lepidosauria,LPAR6,17
Testudines,LPAR6,12
Amphibia,LPAR6,12
Dipnomorpha,LPAR6,1
Coelacanthiformes,LPAR6,1
Actinopterygii,LPAR6,177
Chondrichthyes,LPAR6,8
Cyclostomata,LPAR6,0
Tunicata,LPAR6,0
Cephalochordata,LPAR6,0
Hemichordata,LPAR6,0
Echinodermata,LPAR6,0
Annelida,LPAR6,0
Mollusca,LPAR6,0
Arthropoda,LPAR6,0
Cnidaria,LPAR6,0
Placozoa,LPAR6,0
Lepidosauria,LPAR4|LPAR5,11
Testudines,LPAR4|LPAR5,9
Amphibia,LPAR4|LPAR5,1
Coelacanthiformes,LPAR4|LPAR5,1
Actinopterygii,LPAR4|LPAR5,142
Chondrichthyes,LPAR4|LPAR5,7
Cyclostomata,LPAR4|LPAR5,1
Archosauria,LTB4R1|LTB4R2,101
Lepidosauria,LTB4R1|LTB4R2,11
Actinopterygii,LTB4R1|LTB4R2,140
Chondrichthyes,LTB4R1|LTB4R2,3
Mammalia,LTB4R1,192
Archosauria,LTB4R1,9
Lepidosauria,LTB4R1,21
Testudines,LTB4R1,13
Amphibia,LTB4R1,14
Dipnomorpha,LTB4R1,0
Coelacanthiformes,LTB4R1,1
Actinopterygii,LTB4R1,109
Chondrichthyes,LTB4R1,0
Cyclostomata,LTB4R1,0
Tunicata,LTB4R1,0
Cephalochordata,LTB4R1,0
Hemichordata,LTB4R1,0
Echinodermata,LTB4R1,0
Annelida,LTB4R1,0
Mollusca,LTB4R1,0
Arthropoda,LTB4R1,0
Cnidaria,LTB4R1,0
Placozoa,LTB4R1,0
Mammalia,LTB4R2,189
Archosauria,LTB4R2,6
Lepidosauria,LTB4R2,16
Testudines,LTB4R2,12
Amphibia,LTB4R2,14
Dipnomorpha,LTB4R2,0
Coelacanthiformes,LTB4R2,1
Actinopterygii,LTB4R2,153
Chondrichthyes,LTB4R2,0
Cyclostomata,LTB4R2,0
Tunicata,LTB4R2,0
Cephalochordata,LTB4R2,0
Hemichordata,LTB4R2,0
Echinodermata,LTB4R2,0
Annelida,LTB4R2,0
Mollusca,LTB4R2,0
Arthropoda,LTB4R2,0
Cnidaria,LTB4R2,0
Placozoa,LTB4R2,0
Mammalia,OXER1,142
Archosauria,OXER1,0
Lepidosauria,OXER1,0
Testudines,OXER1,5
Amphibia,OXER1,0
Dipnomorpha,OXER1,0
Coelacanthiformes,OXER1,1
Actinopterygii,OXER1,16
Chondrichthyes,OXER1,0
Cyclostomata,OXER1,0
Tunicata,OXER1,0
Cephalochordata,OXER1,0
Hemichordata,OXER1,0
Echinodermata,OXER1,0
Annelida,OXER1,0
Mollusca,OXER1,0
Arthropoda,OXER1,0
Cnidaria,OXER1,0
Placozoa,OXER1,0
Mammalia,OXGR1,266
Archosauria,OXGR1,345
Lepidosauria,OXGR1,23
Testudines,OXGR1,19
Amphibia,OXGR1,31
Dipnomorpha,OXGR1,1
Coelacanthiformes,OXGR1,0
Actinopterygii,OXGR1,229
Chondrichthyes,OXGR1,0
Cyclostomata,OXGR1,0
Tunicata,OXGR1,0
Cephalochordata,OXGR1,0
Hemichordata,OXGR1,0
Echinodermata,OXGR1,0
Annelida,OXGR1,0
Mollusca,OXGR1,0
Arthropoda,OXGR1,0
