Phyla,Receptor,Mode
Actinopterygii,LTB4R1,1
Chondrichthyes,LTB4R1,0
Cyclostomata,LTB4R1,0
Tunicata,LTB4R1,0
Cephalochordata,LTB4R1,0
Hemichordata,LTB4R1,0
Echinodermata,LTB4R1,0
Annelida,LTB4R1,0
Mollusca,LTB4R1,0
Arthropoda,LTB4R1,0
Cnidaria,LTB4R1,0
Placozoa,LTB4R1,0
Mammalia,LTB4R2,1
Archosauria,LTB4R2,1
Lepidosauria,LTB4R2,1
Testudines,LTB4R2,1
Amphibia,LTB4R2,1
Dipnomorpha,LTB4R2,0
Coelacanthiformes,LTB4R2,1
Actinopterygii,LTB4R2,2
Chondrichthyes,LTB4R2,0
Cyclostomata,LTB4R2,0
Tunicata,LTB4R2,0
Cephalochordata,LTB4R2,0
Hemichordata,LTB4R2,0
Echinodermata,LTB4R2,0
Annelida,LTB4R2,0
Mollusca,LTB4R2,0
Arthropoda,LTB4R2,0
Cnidaria,LTB4R2,0
Placozoa,LTB4R2,0
Mammalia,OXER1,1
Archosauria,OXER1,0
Lepidosauria,OXER1,0
Testudines,OXER1,1
Amphibia,OXER1,0
Dipnomorpha,OXER1,0
Coelacanthiformes,OXER1,1
Actinopterygii,OXER1,1
Chondrichthyes,OXER1,0
Cyclostomata,OXER1,0
Tunicata,OXER1,0
Cephalochordata,OXER1,0
Hemichordata,OXER1,0
Echinodermata,OXER1,0
Annelida,OXER1,0
Mollusca,OXER1,0
Arthropoda,OXER1,0
Cnidaria,OXER1,0
Placozoa,OXER1,0
Mammalia,OXGR1,1
Archosauria,OXGR1,1
Lepidosauria,OXGR1,1
Testudines,OXGR1,2
Amphibia,OXGR1,1
Dipnomorpha,OXGR1,4
Coelacanthiformes,OXGR1,0
Actinopterygii,OXGR1,1
Chondrichthyes,OXGR1,0
Cyclostomata,OXGR1,0
Tunicata,OXGR1,0
Cephalochordata,OXGR1,0
Hemichordata,OXGR1,0
Echinodermata,OXGR1,0
Annelida,OXGR1,0
Mollusca,OXGR1,0
Arthropoda,OXGR1,0
Cnidaria,OXGR1,0
Placozoa,OXGR1,0
Mammalia,P2RY10,2
Archosauria,P2RY10,1
Lepidosauria,P2RY10,2
Testudines,P2RY10,2
Amphibia,P2RY10,1
Dipnomorpha,P2RY10,1
Coelacanthiformes,P2RY10,1
Actinopterygii,P2RY10,1
Chondrichthyes,P2RY10,1
Cyclostomata,P2RY10,0
Tunicata,P2RY10,0
Cephalochordata,P2RY10,0
Hemichordata,P2RY10,0
Echinodermata,P2RY10,0
Annelida,P2RY10,0
Mollusca,P2RY10,0
Arthropoda,P2RY10,0
Cnidaria,P2RY10,0
Placozoa,P2RY10,0
Mammalia,PTAFR/LIKE,1
Archosauria,PTAFR/LIKE,1
Lepidosauria,PTAFR/LIKE,1
Testudines,PTAFR/LIKE,1
Amphibia,PTAFR/LIKE,1
Dipnomorpha,PTAFR/LIKE,1
Coelacanthiformes,PTAFR/LIKE,1
Actinopterygii,PTAFR/LIKE,1
Chondrichthyes,PTAFR/LIKE,1
Cyclostomata,PTAFR/LIKE,0
Tunicata,PTAFR/LIKE,0
Cephalochordata,PTAFR/LIKE,0
Hemichordata,PTAFR/LIKE,0
Echinodermata,PTAFR/LIKE,0
Annelida,PTAFR/LIKE,0
Mollusca,PTAFR/LIKE,0
Arthropoda,PTAFR/LIKE,0
Cnidaria,PTAFR/LIKE,0
Placozoa,PTAFR/LIKE,0
Mammalia,PTAFR,1
Archosauria,PTAFR,1
Lepidosauria,PTAFR,1
Testudines,PTAFR,1
Amphibia,PTAFR,1
Dipnomorpha,PTAFR,1
Coelacanthiformes,PTAFR,2
Actinopterygii,PTAFR,1
Chondrichthyes,PTAFR,1
Cyclostomata,PTAFR,0
Tunicata,PTAFR,0
Cephalochordata,PTAFR,0
Hemichordata,PTAFR,0
Echinodermata,PTAFR,0
Annelida,PTAFR,0
Mollusca,PTAFR,0
Arthropoda,PTAFR,0
Cnidaria,PTAFR,0
Placozoa,PTAFR,0
Mammalia,PTGDR2,1
Archosauria,PTGDR2,0
Lepidosauria,PTGDR2,0
Testudines,PTGDR2,0
Amphibia,PTGDR2,1
Dipnomorpha,PTGDR2,2
Coelacanthiformes,PTGDR2,1
Actinopterygii,PTGDR2,1
Chondrichthyes,PTGDR2,0
Cyclostomata,PTGDR2,0
Tunicata,PTGDR2,0
Cephalochordata,PTGDR2,0
Hemichordata,PTGDR2,0
Echinodermata,PTGDR2,0
Annelida,PTGDR2,0
Mollusca,PTGDR2,0
Arthropoda,PTGDR2,0
Cnidaria,PTGDR2,0
Placozoa,PTGDR2,0
Mammalia,PTGDR,1
Archosauria,PTGDR,1
Lepidosauria,PTGDR,1
Testudines,PTGDR,1
Amphibia,PTGDR,1
Dipnomorpha,PTGDR,1
Coelacanthiformes,PTGDR,1
Actinopterygii,PTGDR,1
Chondrichthyes,PTGDR,1
Cyclostomata,PTGDR,0
Tunicata,PTGDR,0
Cephalochordata,PTGDR,0
Hemichordata,PTGDR,0
Echinodermata,PTGDR,0
Annelida,PTGDR,0
Mollusca,PTGDR,0
Arthropoda,PTGDR,0
Cnidaria,PTGDR,0
Placozoa,PTGDR,0
Cyclostomata,PTGDR|PTGIR,3
Mammalia,PTGER1,1
Archosauria,PTGER1,1
Lepidosauria,PTGER1,1
Testudines,PTGER1,1
Amphibia,PTGER1,1
Dipnomorpha,PTGER1,1
Coelacanthiformes,PTGER1,1
Actinopterygii,PTGER1,3
Chondrichthyes,PTGER1,1
Cyclostomata,PTGER1,0
Tunicata,PTGER1,0
Cephalochordata,PTGER1,0
Hemichordata,PTGER1,0
Echinodermata,PTGER1,0
Annelida,PTGER1,0
Mollusca,PTGER1,0
Arthropoda,PTGER1,0
Cnidaria,PTGER1,0
Placozoa,PTGER1,0
Mammalia,PTGER2,1
Archosauria,PTGER2,1
Lepidosauria,PTGER2,1
Testudines,PTGER2,1
Amphibia,PTGER2,1
Dipnomorpha,PTGER2,1
Coelacanthiformes,PTGER2,1
Actinopterygii,PTGER2,1
Chondrichthyes,PTGER2,1
Cyclostomata,PTGER2,0
